subj,group,corr_mean,corrcl_mean,taskchoice_mean,taskchswi_mean,rtcor_mean,rtcorr_mean,forepcon_mean,forepincon_mean,foswicon_mean,foswiincon_mean,frrepcon_mean,frrepincon_mean,frswicon_mean,frswiincon_mean,err_mean,errforepcon_mean,errforepincon_mean,errfoswicon_mean,errfoswiincon_mean,errfrrepcon_mean,errfrrepincon_mean,errfrswicon_mean,errfrswiincon_mean,fibtaskchswi_mean,sebtaskchswi_mean,thbtaskchswi_mean,fobtaskchswi_mean,errfoconbyswi,baltaskswimean,BIS,BAS,BASr,BASd,BASf,filter_$
3,1,.753012048192771,.756410256410256,.664,.426829268292683,814.76404494382,814.655172413793,734.5,754.478260869565,770.380952380952,805.3,888.52380952381,898.086956521739,839.791666666667,809.25,.234042553191489,.357142857142857,.142857142857143,.25,.333333333333333,.275862068965517,.193548387096774,.1875,.137931034482759,.333333333333333,.428571428571429,.526315789473684,.36,.297619047619048,.412055137844611,24,44,18,12,14,0
5,1,.882530120481928,.884615384615385,.517006802721088,.471074380165289,1067.56097560976,990.991561181435,1018.3,957.344827586207,1054.09090909091,1136.22222222222,934.466666666667,991.484848484849,931,945.727272727273,.115107913669065,.03125,.189189189189189,.225806451612903,.117647058823529,.142857142857143,.0810810810810811,.0555555555555556,.0833333333333333,.516129032258065,.458333333333333,.416666666666667,.5,-.266098581978563,.472782258064516,20,49,18,15,16,1
7,1,.897590361445783,.907051282051282,.718120805369127,.424,1448.1583011583,1296.18725099602,1545.83333333333,1325.96551724138,1402.65517241379,1574.70967741935,1093.27272727273,1012.28571428571,1152.77419354839,1326.60606060606,.0880281690140845,.0857142857142857,.0909090909090909,.142857142857143,.0857142857142857,.153846153846154,.0540540540540541,.0833333333333333,0,.538461538461538,.548387096774194,.333333333333333,.314285714285714,-.0623376623376623,.433616920713695,20,49,18,16,15,1
9,1,.960843373493976,.961538461538462,.743589743589744,.0482758620689655,1006.60416666667,967.232974910394,1011.09677419355,1052.69696969697,1081.64705882353,1120.36111111111,826.138888888889,871.27027027027,878.705882352941,916.105263157895,.0367892976588629,.0588235294117647,.0789473684210526,.027027027027027,.0526315789473684,0,0,.0789473684210526,0,.162162162162162,0,0,.0277777777777778,.00548071291105347,.047484984984985,20,37,13,12,12,0
11,1,.94578313253012,.94551282051282,.418300653594771,.544117647058823,913.007194244604,879.524163568773,820.028571428571,781.454545454546,926.866666666667,842.823529411765,926.352941176471,916.9375,850,967.184210526316,.0576271186440678,.102564102564103,.0833333333333333,.0882352941176471,0,.0277777777777778,.0285714285714286,.102564102564103,.0256410256410256,.666666666666667,.357142857142857,.58974358974359,.527777777777778,-.0690045248868778,.535332722832723,25,46,17,16,13,1
13,1,.94578313253012,.948717948717949,.516556291390728,.819548872180451,1130.7793594306,1084.66544117647,921.885714285714,960.636363636364,1152.91666666667,1112.96875,1177.08571428571,1170.14705882353,1048.40625,1126,.0474576271186441,.0263157894736842,.0540540540540541,.075,.0303030303030303,.0526315789473684,0,.0555555555555556,.0789473684210526,1,.833333333333333,.722222222222222,.794871794871795,-.0724352342773395,.837606837606838,21,43,17,12,14,1
15,1,.867469879518072,.875,.662068965517241,.191304347826087,1473.53361344538,1367.72489082969,1383.48148148148,1582.86956521739,1553.96296296296,1817.37931034483,1038.03333333333,1272.86206896552,1097.83870967742,1293.9696969697,.131386861313869,.125,.21875,.2,.147058823529412,.03125,.171428571428571,.131578947368421,.0277777777777778,.173913043478261,.3,.172413793103448,.121212121212121,-.146691176470588,.191884739448458,25,40,16,12,12,1
17,1,.83433734939759,.830128205128205,.566176470588235,.416666666666667,800.293577981651,782.514150943396,708.066666666667,813.259259259259,720.307692307692,740,781.241379310345,959.833333333333,783.740740740741,769.379310344828,.158301158301158,.117647058823529,.151515151515152,.181818181818182,.222222222222222,.147058823529412,.166666666666667,.151515151515152,.142857142857143,.5,.5,.433333333333333,.3,.00653594771241828,.433333333333333,22,51,19,16,16,1
19,1,.951807228915663,.955128205128205,.980891719745223,.0136054421768707,891.957597173145,864.830324909747,893.71875,890.029411764706,926.575757575758,999.935483870968,805.578947368421,843.055555555556,812.944444444444,780.945945945946,.0471380471380471,.0588235294117647,.0526315789473684,.0833333333333333,.111111111111111,.0256410256410256,.027027027027027,0,.025,.0555555555555556,0,0,0,.0339697282421741,.0138888888888889,26,44,16,14,14,0
21,1,.969879518072289,.971153846153846,.515923566878981,.54421768707483,1556.1843003413,1457.1649122807,1325.64864864865,1275.78125,1745.30555555556,1672.31428571429,1409.58333333333,1411.2972972973,1272.51282051282,1559.54545454545,.0297029702970297,.0256410256410256,.0833333333333333,0,.0526315789473684,.0263157894736842,.0512820512820513,0,0,.487179487179487,.564102564102564,.606060606060606,.527777777777778,-.00506072874493927,.546280108780109,16,37,16,12,9,1
23,1,.963855421686747,.977564102564103,.528301886792453,.535947712418301,2211.39393939394,2132.09655172414,2357.40540540541,2216.07894736842,2391.83783783784,2625.37931034483,1639.66666666667,1977.13157894737,1788.28571428571,2177.59459459459,.0230263157894737,0,.0256410256410256,0,.138888888888889,0,.025,0,0,.538461538461538,.615384615384615,.5,.487179487179487,.113247863247863,.53525641025641,20,43,17,13,13,1
25,1,.936746987951807,.942307692307692,.5,.521739130434783,888.622302158273,855.520295202952,793.027777777778,818.322580645161,893,828.1,878.416666666667,867.878787878788,813.578947368421,955.909090909091,.054421768707483,.0526315789473684,.0833333333333333,.0555555555555556,.0882352941176471,0,.0555555555555556,.0256410256410256,.0810810810810811,.388888888888889,.515151515151515,.636363636363636,.555555555555556,.0019779841761266,.523989898989899,25,42,17,13,12,1
27,1,.960843373493976,.967948717948718,.57051282051282,.420689655172414,980.484536082474,950.528169014084,894.470588235294,843.444444444444,910.15625,1058.81081081081,1030,954.257142857143,891.189189189189,1010.83333333333,.0332225913621262,.0789473684210526,.0512820512820513,.0294117647058824,.0263157894736842,0,.0256410256410256,.0263157894736842,.0263157894736842,.363636363636364,.432432432432432,.416666666666667,.461538461538462,.0245693419068032,.418568481068481,28,42,18,13,11,1
29,1,.930722891566265,.955128205128205,.574193548387097,.453900709219858,1103.48591549296,1052.38989169675,902.314285714286,1077.41935483871,1145.67647058824,1024.17142857143,1105.30555555556,1106.41666666667,1057.47058823529,1004.33333333333,.0469798657718121,.0789473684210526,.0882352941176471,.0277777777777778,.0512820512820513,0,.027027027027027,.027027027027027,.075,.575757575757576,.416666666666667,.472222222222222,.361111111111111,.0142163478076791,.456439393939394,24,38,16,12,10,1
31,1,.990963855421687,.993589743589744,.525,.66025641025641,1458.36363636364,1341.81756756757,1519.69230769231,1340.44444444444,1281.08333333333,1317.57142857143,1254.025,1378.19444444444,1327.86842105263,1310.69444444444,.00645161290322581,0,.0256410256410256,0,.027027027027027,0,0,0,0,.58974358974359,.641025641025641,.692307692307692,.717948717948718,.00138600138600139,.66025641025641,16,38,16,11,11,1
33,1,.933734939759036,.92948717948718,1,0,868.694852941176,816.977186311787,855.428571428571,923.545454545455,969.222222222222,905.357142857143,686.457142857143,776.848484848485,734,745.638888888889,.0652920962199313,0,.0555555555555556,.125,.189189189189189,0,.0810810810810811,.027027027027027,.0512820512820513,0,0,0,0,.00863363363363365,0,14,40,14,11,15,0
35,1,.870481927710843,.884615384615385,.520833333333333,.491071428571429,851.111111111111,841.744769874477,740.484848484849,769.592592592593,758.461538461538,731.034482758621,870.852941176471,1002.18518518519,927.028571428571,926,.116363636363636,.105263157894737,.181818181818182,.129032258064516,.0909090909090909,.0555555555555556,.15625,.0540540540540541,.171428571428571,.466666666666667,.433333333333333,.48,.592592592592593,-.11467819107887,.493148148148148,19,45,16,14,15,1
37,1,.900602409638554,.900641025641026,.543624161073826,.48,1221.23107569721,1168.14693877551,983.321428571429,1114.48275862069,1043.14814814815,1168.25,1266.94285714286,1348.9,1117.97222222222,1262.8125,.103571428571429,.142857142857143,.147058823529412,.0666666666666667,.194444444444444,0,.184210526315789,.027027027027027,.0588235294117647,.433333333333333,.482758620689655,.487179487179487,.518518518518518,.123576097105509,.480447489930249,25,36,15,13,8,1
39,1,.837349397590361,.846153846153846,.98,.0232558139534884,1264.20888888889,1110.17431192661,910.571428571429,1100.5,1098.33333333333,974.529411764706,1416.875,1154.59375,1045.02857142857,1091.5,.147727272727273,.176470588235294,.153846153846154,.344827586206897,.344827586206897,.0555555555555556,.111111111111111,.027027027027027,.0540540540540541,.125,0,0,0,.0226244343891403,.03125,25,48,19,14,15,0
41,1,.957831325301205,.96474358974359,.554140127388535,.598639455782313,1250.19243986254,1231.99651567944,1087.28571428571,1189.02941176471,1100.64705882353,1145.66666666667,1169.21621621622,1353.89473684211,1290.36842105263,1505.48571428571,.0332225913621262,0,.0810810810810811,.0789473684210526,.027027027027027,0,.0256410256410256,.025,.027027027027027,.484848484848485,.615384615384615,.638888888888889,.641025641025641,-.133001422475107,.595036907536908,21,50,20,15,15,1
43,1,.963855421686747,.967948717948718,.506410256410256,.493055555555556,1006.24914675768,982.989473684211,908.675675675676,945.441176470588,951.857142857143,913.088235294118,1007.97297297297,1018.5,1021.94736842105,1090.77777777778,.0298013245033113,.0256410256410256,.0540540540540541,0,.0540540540540541,.0263157894736842,.027027027027027,0,.0526315789473684,.545454545454545,.538461538461538,.454545454545455,.435897435897436,.0256410256410256,.493589743589744,25,43,17,13,13,1
45,1,.936746987951807,.932692307692308,.519230769230769,.569444444444444,1146.36764705882,1132.08178438662,1072.1,1133.3,1078.41935483871,1177.87096774194,1179.64864864865,1094.63888888889,1126.34210526316,1182.44444444444,.0652920962199313,.0882352941176471,.0909090909090909,.138888888888889,.111111111111111,.0263157894736842,.0263157894736842,.0256410256410256,.027027027027027,.606060606060606,.545454545454545,.538461538461538,.58974358974359,-.0304515745692216,.56993006993007,16,49,18,15,16,1
47,1,.927710843373494,.932692307692308,.532467532467532,.664233576642336,1194.91143911439,1131.83018867925,898.147058823529,1060.35483870968,1214.36363636364,1138.5,1002.63157894737,1238.08571428571,1279.72222222222,1229.65625,.0719178082191781,.0285714285714286,.135135135135135,.0285714285714286,.228571428571429,0,.0526315789473684,.0263157894736842,.0833333333333333,.611111111111111,.696969696969697,.59375,.75,.0934362934362934,.662957702020202,16,41,15,12,14,1
49,1,.936746987951807,.935897435897436,.550335570469799,.516129032258065,1047.88278388278,983.996183206107,840.583333333333,868.09375,955.2,1105.05714285714,994.264705882353,1056.38235294118,1063.72727272727,986.035714285714,.0650684931506849,.027027027027027,.131578947368421,.0588235294117647,0,.0512820512820513,.0555555555555556,.0833333333333333,.117647058823529,.545454545454545,.484848484848485,.575757575757576,.472222222222222,-.163375449753159,.519570707070707,16,39,16,13,10,1
