subj	block	trial	task_cue	task	choice_resp	choiceRT	choice_acc	topnum	topsize	botnum	botsize	cong	task_resp	taskRT	task_acc	RSI	CSI	altRep	E1
128	3	18	N	N	d	585.83	0	9	24	4	56	i	j	1620.47	1	100	1000	0	0
128	3	19	P	P	f	986.64	1	3	56	7	24	i	j	1487.38	1	100	1000	1	0
128	3	20	N	N	d	918.84	0	9	24	4	56	i	j	1468.91	1	100	1000	1	0
128	3	21	P	P	f	685.9	1	9	56	2	24	c	j	1069.31	1	1000	1000	1	0
128	3	22	P	P	f	836.35	1	8	56	4	24	c	j	1253.03	1	100	1000	0	0
128	3	23	P	P	f	435.58	1	2	56	8	24	i	j	1303.31	1	1000	100	0	0
128	3	24	N	N	d	835.8	0	3	56	8	24	i	n	1637.19	1	1000	100	1	0
128	3	25	N	N	d	435.91	0	7	56	4	24	c	j	1153.25	1	100	1000	0	0
128	3	26	P	P	f	986.49	1	8	24	3	56	i	n	1236.43	1	100	1000	1	0
128	3	27	P	P	f	1069.32	1	4	56	9	24	i	j	1170.31	1	100	1000	0	0
128	3	28	N	N	d	736.44	0	2	24	8	56	c	n	1218.89	1	1000	100	1	0
128	3	29	P	P	f	1269.56	1	3	24	7	56	c	n	1620.58	1	1000	1000	1	0
128	3	30	P	P	f	702.38	1	8	24	4	56	i	n	1518.86	1	1000	100	0	0
128	3	31	P	P	f	718.63	1	3	24	9	56	c	n	852.07	1	1000	1000	0	0
128	3	32	N	N	d	919.44	0	2	24	8	56	c	n	1236.91	1	100	100	1	0
128	3	33	N	N	d	851.81	0	4	24	8	56	c	n	1686.95	1	1000	100	0	0
128	3	34	N	N	d	485.45	0	3	24	7	56	c	n	669.01	1	100	100	0	0
128	3	35	N	N	d	869.66	0	2	56	8	24	i	n	1119.6	1	1000	1000	0	0
128	3	36	N	N	d	1920.63	0	8	56	4	24	c	j	1486.57	1	1000	1000	0	0
128	3	37	P	P	f	985.76	1	7	56	2	24	c	j	1102.78	1	100	100	1	0
128	3	38	N	N	d	852.42	0	4	56	8	24	i	n	1119.59	1	100	100	1	0
128	3	39	N	N	d	886.24	0	2	56	7	24	i	n	1585.72	1	1000	100	0	0
128	3	40	P	P	f	752.55	1	9	24	4	56	i	n	1069.12	1	100	100	1	0
128	3	41	P	P	f	1036.64	1	2	56	7	24	i	j	1637.45	1	100	100	0	0
128	3	42	N	N	d	886.65	0	3	56	9	24	i	n	1420.59	1	1000	1000	1	0
128	3	43	P	P	f	769.24	1	4	24	9	56	c	n	1887.01	1	100	1000	1	0
128	3	44	P	P	f	1019.63	1	7	56	2	24	c	j	1520.55	1	1000	100	0	0
128	3	45	P	P	f	869.11	1	8	24	4	56	i	n	2488.05	1	1000	1000	0	0
128	3	46	P	P	f	918.82	1	7	56	2	24	c	j	1136.51	1	100	100	0	0
128	3	47	N	N	d	919.74	0	3	24	7	56	c	n	1237.1	1	100	1000	1	0
128	3	48	N	N	d	501.17	0	2	24	8	56	c	n	635.77	1	100	1000	0	0
128	3	49	P	P	f	935.76	1	4	56	9	24	i	j	1253.14	1	100	100	1	0
128	3	50	N	N	d	869.54	0	8	24	2	56	i	j	1220.24	1	1000	100	1	0
128	3	51	N	N	d	818.94	0	4	56	8	24	i	n	1136.19	1	100	100	0	0
128	3	52	P	P	f	1486.74	1	3	24	9	56	c	n	1036.29	1	1000	100	1	0
128	3	53	N	N	d	669.36	0	4	56	7	24	i	n	1319.17	1	100	1000	1	0
128	3	54	N	N	d	669.3	0	7	24	2	56	i	j	1053.2	1	1000	100	0	0
128	3	55	P	P	f	651.61	1	9	24	3	56	i	n	1103.23	1	1000	100	1	0
128	3	56	N	N	d	885.88	0	7	24	4	56	i	j	1168.22	1	100	100	1	0
128	3	57	N	N	d	669.02	0	9	56	3	24	c	j	1753.74	1	1000	100	0	0
128	3	58	P	P	f	869.32	1	2	24	7	56	c	n	1001.4	1	100	100	1	0
128	3	59	P	P	f	602.22	1	8	24	3	56	i	n	2304.28	1	100	1000	0	0
128	3	60	P	P	f	1019.68	1	4	24	8	56	c	n	902.63	1	100	100	0	0
128	3	61	P	P	f	485.9	1	2	56	7	24	i	j	1953.79	1	1000	1000	0	0
128	3	62	N	N	d	736.45	0	8	56	4	24	c	j	1185.36	1	1000	1000	1	0
128	3	63	P	P	f	1336.33	1	9	56	2	24	c	j	1520.1	1	1000	100	1	0
128	3	64	N	N	d	936.04	0	7	56	3	24	c	j	1821.02	1	100	100	1	0
128	3	65	N	N	d	568.03	0	7	24	4	56	i	j	1603.52	1	100	100	0	0
128	4	1	N	N	d	2287.78	0	8	24	3	56	i	j	1253.6	1	100	1000	-1	0
128	4	2	N	N	d	652.5	0	7	24	4	56	i	j	936.17	1	1000	1000	0	0
128	4	3	P	P	f	835.02	1	2	56	7	24	i	j	986.17	1	100	1000	1	0
128	4	4	N	N	d	952.93	0	4	24	9	56	c	n	1269.94	1	100	100	1	0
128	4	5	P	P	f	685.96	1	3	24	9	56	c	n	936.17	1	1000	1000	1	0
128	4	6	P	P	f	1002.89	1	9	24	4	56	i	n	1436.6	1	100	100	0	0
128	4	7	P	P	f	585.54	1	3	56	9	24	i	j	1102.97	1	100	1000	0	0
128	4	8	N	N	d	969.44	0	7	56	2	24	c	j	3288.79	1	100	1000	1	0
128	4	9	N	N	d	519.36	0	4	56	8	24	i	n	1319.12	1	100	1000	0	0
128	4	10	N	N	d	419.34	0	2	56	8	24	i	n	1103.59	1	100	100	0	0
128	4	11	P	P	f	985.63	1	8	24	3	56	i	n	886.17	1	100	1000	1	0
128	4	12	N	N	d	769.47	0	7	24	2	56	i	j	2137.61	1	1000	1000	1	0
128	4	13	N	N	d	736.17	0	3	56	8	24	i	n	986.47	1	1000	1000	0	0
128	4	14	N	N	d	618.68	0	4	24	8	56	c	n	1470.2	1	100	100	0	0
128	4	15	P	P	f	952.78	1	3	24	7	56	c	n	953.02	1	100	100	1	0
128	4	16	N	N	d	869.18	0	9	56	4	24	c	j	968.82	1	1000	100	1	0
128	4	17	N	N	d	936.29	0	3	24	7	56	c	n	1320.54	1	1000	1000	0	0
128	4	18	P	P	f	1136.12	1	4	56	8	24	i	j	2287.61	1	1000	1000	1	0
128	4	19	P	P	f	736.08	1	9	56	3	24	c	j	769.16	1	1000	1000	0	0
128	4	20	P	P	f	1002.93	1	2	24	7	56	c	n	1736.98	1	100	100	0	0
128	4	21	N	N	d	1152.78	0	7	24	3	56	i	j	1420.58	1	100	1000	1	0
128	4	22	N	N	d	1036.21	0	7	56	4	24	c	j	1286.84	1	1000	100	0	0
128	4	23	P	P	f	1118.87	1	8	56	3	24	c	j	1303.27	1	100	100	1	0
128	4	24	N	N	d	902.75	0	4	56	9	24	i	n	1119.99	1	100	100	1	0
128	4	25	P	P	f	752.62	1	9	56	2	24	c	j	751.43	1	1000	1000	1	0
128	4	26	N	N	d	1136.45	0	8	24	3	56	i	j	2271.29	1	100	100	1	0
128	4	27	N	N	d	969.72	0	2	56	7	24	i	n	1053.44	1	1000	100	0	0
128	4	28	P	P	f	836.63	1	4	56	9	24	i	j	1636.98	1	1000	100	1	0
128	4	29	P	P	f	719.34	1	2	56	9	24	i	j	1002.37	1	1000	100	0	0
128	4	30	N	N	f	719.41	0	8	56	4	24	c	j	2421.1	1	100	100	1	0
128	4	31	N	N	d	819.34	0	2	24	9	56	c	n	3489.17	1	100	1000	0	0
128	4	32	N	N	d	885.87	0	8	56	3	24	c	j	1269.83	1	1000	1000	0	0
128	4	33	N	N	d	769.39	0	7	56	2	24	c	j	753.14	1	100	1000	0	0
128	4	34	P	P	f	919.13	1	7	24	4	56	i	n	1637.04	1	1000	1000	1	0
128	4	35	P	P	f	435.58	1	9	24	3	56	i	n	986.08	1	1000	1000	0	0
128	4	36	P	P	f	936.28	1	7	24	2	56	i	n	1286.97	1	1000	100	0	0
128	4	37	N	N	d	1419.88	0	3	56	7	24	i	n	1385.62	1	100	1000	1	0
128	4	38	N	N	d	685.88	0	4	24	8	56	c	n	902.86	1	1000	100	0	0
128	4	39	P	P	f	1003.17	1	9	56	2	24	c	j	1052.98	1	1000	100	1	0
128	4	40	N	N	d	768.56	0	8	56	4	24	c	j	1702.15	1	1000	1000	1	0
128	4	41	P	P	f	1103.01	1	9	56	2	24	c	j	1170.15	1	100	1000	1	0
128	4	42	N	N	d	986.24	0	4	24	9	56	c	n	968.86	1	100	1000	1	0
128	4	43	P	P	f	1269.81	1	2	56	7	24	i	j	869.33	1	100	100	1	0
128	4	44	P	P	f	736.12	1	9	56	3	24	c	j	752.59	1	1000	100	0	0
128	4	45	N	N	d	836.53	0	4	56	9	24	i	n	1236.68	1	1000	1000	1	0
128	4	46	N	N	d	736.0	0	9	24	3	56	i	j	1102.42	1	100	1000	0	0
128	4	47	N	N	d	785.96	0	7	24	2	56	i	j	2004.2	1	100	100	0	0
128	4	48	P	P	f	786.02	1	3	24	8	56	c	n	1102.93	1	1000	100	1	0
128	4	49	P	P	f	919.6	1	2	56	7	24	i	j	1953.61	1	100	100	0	0
128	4	50	N	N	d	785.18	0	4	24	8	56	c	n	1119.68	1	1000	100	1	0
128	4	51	P	P	f	1952.65	1	9	24	3	56	i	n	2237.95	1	100	100	1	0
128	4	52	N	N	d	719.49	0	2	56	7	24	i	n	1152.84	1	1000	100	1	0
128	4	53	N	N	d	736.69	0	7	24	3	56	i	j	1101.62	1	1000	100	0	0
128	4	54	P	P	f	852.83	1	2	24	7	56	c	n	1269.87	1	100	1000	1	0
128	4	55	P	P	f	619.16	1	8	56	3	24	c	j	819.24	1	100	1000	0	0
128	4	56	N	N	d	902.05	0	4	24	7	56	c	n	1169.82	1	1000	1000	1	0
128	4	57	N	N	d	435.67	0	7	56	3	24	c	j	1053.14	1	100	100	0	0
128	4	58	P	P	f	819.5	1	7	24	2	56	i	n	1920.97	1	1000	100	1	0
128	4	59	P	P	f	1052.67	1	3	24	9	56	c	n	1251.63	1	1000	1000	0	0
128	4	60	P	P	f	685.85	1	2	24	9	56	c	n	969.54	1	1000	100	0	0
128	4	61	P	P	f	819.44	1	3	56	7	24	i	j	952.32	1	1000	1000	0	0
128	4	62	P	P	f	936.77	1	8	24	2	56	i	n	1119.79	1	100	1000	0	0
128	4	63	P	P	f	970.1	1	3	24	7	56	c	n	869.43	1	100	1000	0	0
128	4	64	P	P	f	819.46	1	7	56	2	24	c	j	1069.84	1	100	100	0	0
128	4	65	N	N	d	869.39	0	9	24	4	56	i	j	1453.42	1	1000	100	1	0
128	5	1	P	P	f	1520.11	1	8	24	2	56	i	n	1336.76	1	1000	100	-1	0
128	5	2	P	P	f	1353.46	1	9	24	4	56	i	n	1119.88	1	100	100	0	0
128	5	3	N	N	d	818.63	0	3	56	7	24	i	n	1069.49	1	100	1000	1	0
128	5	4	N	N	d	585.79	0	9	56	4	24	c	j	1219.38	1	100	1000	0	0
128	5	5	N	N	d	902.81	0	2	24	8	56	c	n	1102.24	1	1000	1000	0	0
128	5	6	P	P	f	735.81	1	4	56	8	24	i	j	936.39	1	1000	100	1	0
128	5	7	N	N	d	852.31	0	8	56	2	24	c	j	1002.89	1	1000	1000	1	0
128	5	8	P	P	f	1103.0	1	3	56	9	24	i	j	819.38	1	100	1000	1	0
128	5	9	P	P	f	852.23	1	7	56	4	24	c	j	1020.04	1	100	1000	0	0
128	5	10	N	N	d	886.2	0	3	56	9	24	i	n	1369.99	1	1000	1000	1	0
128	5	11	P	P	f	1152.93	1	4	24	9	56	c	n	1937.31	1	1000	1000	1	0
128	5	12	P	P	f	802.95	1	9	24	2	56	i	n	1369.97	1	1000	1000	0	0
128	5	13	P	P	f	1253.32	1	4	24	9	56	c	n	853.2	1	100	1000	0	0
128	5	14	N	N	d	969.53	0	9	56	3	24	c	j	969.82	1	1000	100	1	0
128	5	15	N	N	d	769.16	0	2	24	9	56	c	n	2186.36	1	100	1000	0	0
128	5	16	P	P	f	1235.93	1	8	56	3	24	c	j	5473.96	1	1000	1000	1	0
128	5	17	N	N	d	886.08	0	9	24	4	56	i	j	919.85	1	100	1000	1	0
128	5	18	N	N	d	719.24	0	8	24	3	56	i	j	969.55	1	1000	1000	0	0
128	5	19	P	P	f	869.57	1	9	56	2	24	c	j	785.9	1	100	100	1	0
128	5	20	P	P	f	936.12	1	7	24	4	56	i	n	1119.66	1	1000	100	0	0
128	5	21	P	P	f	668.89	1	3	24	9	56	c	n	919.54	1	1000	100	0	0
128	5	22	P	P	f	801.93	1	2	56	8	24	i	j	1036.39	1	1000	100	0	0
128	5	23	P	P	f	1553.97	1	7	56	3	24	c	j	1835.93	1	1000	1000	0	0
128	5	24	N	N	d	802.34	0	8	56	4	24	c	j	1002.32	1	100	100	1	0
128	5	25	N	N	d	502.46	0	3	56	8	24	i	n	1336.52	1	100	1000	0	0
128	5	26	N	N	d	819.38	0	7	56	4	24	c	j	1453.16	1	1000	100	0	0
128	5	27	N	N	d	1017.99	0	3	24	7	56	c	n	1219.3	1	100	100	0	0
128	5	28	N	N	d	802.67	0	9	56	4	24	c	j	986.09	1	1000	1000	0	0
128	5	29	P	P	f	719.21	1	2	24	9	56	c	n	936.41	1	100	100	1	0
128	5	30	P	P	f	552.44	1	4	24	9	56	c	n	501.96	1	100	100	0	0
128	5	31	P	P	f	685.85	1	3	56	8	24	i	j	1151.57	1	100	1000	0	0
128	5	32	N	N	d	835.28	0	9	24	4	56	i	j	1103.4	1	100	100	1	0
128	5	33	P	P	f	768.98	1	7	56	3	24	c	j	819.39	1	1000	100	1	0
128	5	34	N	N	d	905.47	0	8	24	4	56	i	j	1670.52	1	1000	1000	1	0
128	5	35	P	P	f	769.26	1	8	56	3	24	c	j	1620.11	1	100	1000	1	0
128	5	36	P	P	f	619.69	1	7	56	2	24	c	j	835.99	1	1000	100	0	0
128	5	37	N	N	d	969.25	0	4	56	9	24	i	n	1336.27	1	100	100	1	0
