subj	block	trial	task_cue	task	choice_resp	choiceRT	choice_acc	topnum	topsize	botnum	botsize	cong	task_resp	taskRT	task_acc	RSI	CSI	altRep	E1
184	2	36	P	P	f	485.12	1	8	24	4	56	i	n	840.03	1	100	1000	1	0
184	2	37	P	P	d	575.13	1	2	56	7	24	i	j	734.27	1	100	1000	0	0
184	2	38	P	P	d	435.79	1	8	24	3	56	i	n	1145.14	1	100	100	0	0
184	2	39	N	N	f	625.39	0	8	24	4	56	i	j	1083.35	1	100	1000	1	0
184	2	40	N	N	f	562.13	0	9	56	2	24	c	j	1053.5	1	1000	100	0	0
184	2	41	P	P	d	650.27	1	4	24	8	56	c	n	574.5	1	100	1000	1	0
184	2	42	P	P	d	474.91	1	8	56	3	24	c	j	2973.38	1	1000	1000	0	0
184	2	43	P	P	d	606.92	1	9	24	4	56	i	n	811.29	1	100	1000	0	0
184	2	44	N	N	f	692.45	0	8	24	2	56	i	j	904.32	1	100	100	1	0
184	2	45	N	N	f	573.7	0	3	56	7	24	i	n	868.16	1	100	100	0	0
184	2	46	P	P	d	761.31	1	4	24	7	56	c	n	477.7	1	1000	1000	1	0
184	2	47	P	P	d	568.37	1	2	56	9	24	i	j	1065.3	1	1000	100	0	0
184	2	48	N	N	f	685.62	0	3	56	8	24	i	n	1268.26	1	100	1000	1	0
184	2	49	N	N	f	990.48	0	7	24	2	56	i	j	1385.01	1	1000	1000	0	0
184	2	50	P	P	d	428.9	1	3	56	7	24	i	j	1290.58	1	1000	100	1	0
184	2	51	P	P	d	1136.72	1	8	24	4	56	i	n	1090.03	1	1000	100	0	0
184	2	52	N	N	f	652.81	0	9	56	2	24	c	j	966.44	1	100	100	1	0
184	2	53	N	N	f	584.58	0	3	24	8	56	c	n	597.41	1	1000	100	0	0
184	2	54	N	N	f	438.09	0	8	24	4	56	i	j	921.55	1	100	100	0	0
184	2	55	P	P	d	607.15	1	7	56	3	24	c	j	948.09	1	1000	100	1	0
184	2	56	N	N	f	696.0	0	2	56	9	24	i	n	807.0	1	100	100	1	0
184	2	57	N	N	f	755.72	0	4	24	8	56	c	n	1439.86	1	100	1000	0	0
184	2	58	P	P	d	574.38	1	9	24	2	56	i	j	633.43	0	100	100	1	0
184	2	59	P	P	d	1024.26	1	9	56	3	24	c	j	1093.9	1	1000	100	0	1
184	2	60	P	P	d	1411.39	1	8	56	4	24	c	j	725.43	1	100	100	0	0
184	2	61	N	N	f	1409.6	0	9	24	3	56	i	j	803.45	1	1000	100	1	0
184	2	62	P	P	d	640.35	1	8	56	4	24	c	j	1070.84	1	100	100	1	0
184	2	63	N	N	f	1224.45	0	8	56	3	24	c	j	1362.64	1	1000	1000	1	0
184	2	64	P	P	d	569.43	1	2	56	7	24	i	j	1101.42	1	100	100	1	0
184	2	65	N	N	f	753.85	0	3	56	7	24	i	n	1258.66	1	1000	1000	1	0
184	3	1	N	N	f	1219.85	0	7	56	4	24	c	j	751.91	1	100	100	-1	0
184	3	2	P	P	d	940.43	1	9	24	2	56	i	n	800.89	1	1000	100	1	0
184	3	3	N	N	f	547.49	0	7	56	4	24	c	j	481.47	1	100	1000	1	0
184	3	4	P	P	d	965.32	1	8	56	2	24	c	j	775.75	1	1000	100	1	0
184	3	5	P	P	d	678.6	1	8	56	4	24	c	j	479.39	1	1000	100	0	0
184	3	6	P	P	d	537.62	1	3	24	8	56	c	n	753.52	1	100	100	0	0
184	3	7	P	P	d	560.87	1	8	24	2	56	i	n	928.13	1	100	1000	0	0
184	3	8	P	P	d	568.24	1	8	56	3	24	c	j	524.75	1	1000	1000	0	0
184	3	9	P	P	d	463.56	1	2	24	7	56	c	n	616.37	1	1000	100	0	0
