"subj" "trialCumul" "sr" "exp"
"217" 40 1 "Imburgio first 64"
"217" 41 1 "Imburgio first 64"
"217" 42 1 "Imburgio first 64"
"217" 43 0 "Imburgio first 64"
"217" 44 1 "Imburgio first 64"
"217" 45 1 "Imburgio first 64"
"217" 46 0 "Imburgio first 64"
"217" 47 1 "Imburgio first 64"
"217" 48 1 "Imburgio first 64"
"217" 49 0 "Imburgio first 64"
"217" 50 0 "Imburgio first 64"
"217" 52 0 "Imburgio first 64"
"217" 53 0 "Imburgio first 64"
"217" 55 0 "Imburgio first 64"
"217" 56 0 "Imburgio first 64"
"217" 57 1 "Imburgio first 64"
"217" 58 0 "Imburgio first 64"
"217" 59 0 "Imburgio first 64"
"217" 60 1 "Imburgio first 64"
"217" 61 0 "Imburgio first 64"
"217" 62 1 "Imburgio first 64"
"217" 63 0 "Imburgio first 64"
"217" 64 1 "Imburgio first 64"
"213" 2 1 "Imburgio first 64"
"213" 3 1 "Imburgio first 64"
"213" 4 1 "Imburgio first 64"
"213" 5 1 "Imburgio first 64"
"213" 6 1 "Imburgio first 64"
"213" 7 1 "Imburgio first 64"
"213" 9 1 "Imburgio first 64"
"213" 10 1 "Imburgio first 64"
"213" 11 1 "Imburgio first 64"
"213" 12 1 "Imburgio first 64"
"213" 13 1 "Imburgio first 64"
"213" 14 1 "Imburgio first 64"
"213" 15 1 "Imburgio first 64"
"213" 16 1 "Imburgio first 64"
"213" 17 1 "Imburgio first 64"
"213" 19 1 "Imburgio first 64"
"213" 20 1 "Imburgio first 64"
"213" 21 1 "Imburgio first 64"
"213" 22 1 "Imburgio first 64"
"213" 23 1 "Imburgio first 64"
"213" 24 1 "Imburgio first 64"
"213" 25 1 "Imburgio first 64"
"213" 27 1 "Imburgio first 64"
"213" 28 1 "Imburgio first 64"
"213" 29 1 "Imburgio first 64"
"213" 30 1 "Imburgio first 64"
"213" 31 1 "Imburgio first 64"
"213" 32 1 "Imburgio first 64"
"213" 33 1 "Imburgio first 64"
"213" 34 1 "Imburgio first 64"
"213" 36 0 "Imburgio first 64"
"213" 37 1 "Imburgio first 64"
"213" 38 1 "Imburgio first 64"
"213" 39 1 "Imburgio first 64"
"213" 40 1 "Imburgio first 64"
"213" 41 1 "Imburgio first 64"
"213" 42 1 "Imburgio first 64"
"213" 43 1 "Imburgio first 64"
"213" 44 1 "Imburgio first 64"
"213" 45 1 "Imburgio first 64"
"213" 46 1 "Imburgio first 64"
"213" 47 1 "Imburgio first 64"
"213" 48 1 "Imburgio first 64"
