"subj" "trialCumul" "sr" "exp"
"16" 37 1 "Frober E1 Vol First 64 trials"
"16" 38 0 "Frober E1 Vol First 64 trials"
"16" 39 1 "Frober E1 Vol First 64 trials"
"16" 40 1 "Frober E1 Vol First 64 trials"
"16" 41 0 "Frober E1 Vol First 64 trials"
"16" 42 0 "Frober E1 Vol First 64 trials"
"16" 43 1 "Frober E1 Vol First 64 trials"
"16" 44 0 "Frober E1 Vol First 64 trials"
"16" 45 1 "Frober E1 Vol First 64 trials"
"16" 46 0 "Frober E1 Vol First 64 trials"
"16" 47 1 "Frober E1 Vol First 64 trials"
"16" 48 0 "Frober E1 Vol First 64 trials"
"16" 49 0 "Frober E1 Vol First 64 trials"
"16" 51 0 "Frober E1 Vol First 64 trials"
"16" 52 0 "Frober E1 Vol First 64 trials"
"16" 54 1 "Frober E1 Vol First 64 trials"
"16" 55 0 "Frober E1 Vol First 64 trials"
"16" 56 1 "Frober E1 Vol First 64 trials"
"16" 58 0 "Frober E1 Vol First 64 trials"
"16" 59 0 "Frober E1 Vol First 64 trials"
"16" 60 0 "Frober E1 Vol First 64 trials"
"16" 61 1 "Frober E1 Vol First 64 trials"
"16" 62 0 "Frober E1 Vol First 64 trials"
"16" 63 0 "Frober E1 Vol First 64 trials"
"16" 64 1 "Frober E1 Vol First 64 trials"
"17" 2 0 "Frober E1 Vol First 64 trials"
"17" 3 0 "Frober E1 Vol First 64 trials"
"17" 4 1 "Frober E1 Vol First 64 trials"
"17" 5 0 "Frober E1 Vol First 64 trials"
"17" 6 0 "Frober E1 Vol First 64 trials"
"17" 7 1 "Frober E1 Vol First 64 trials"
"17" 8 0 "Frober E1 Vol First 64 trials"
"17" 10 0 "Frober E1 Vol First 64 trials"
"17" 11 0 "Frober E1 Vol First 64 trials"
"17" 12 0 "Frober E1 Vol First 64 trials"
"17" 13 1 "Frober E1 Vol First 64 trials"
"17" 14 0 "Frober E1 Vol First 64 trials"
"17" 16 1 "Frober E1 Vol First 64 trials"
"17" 17 0 "Frober E1 Vol First 64 trials"
"17" 18 0 "Frober E1 Vol First 64 trials"
"17" 19 0 "Frober E1 Vol First 64 trials"
"17" 20 1 "Frober E1 Vol First 64 trials"
"17" 21 0 "Frober E1 Vol First 64 trials"
